canonical_name	aliases	development_codes	target	company	highest_stage	development_status	nct_ids	adc_scope	catalog_status	sources
PLB-002					Phase1	Phase 1	NCT07304128	PRESUMED_ADC	MULTISOURCE_CONFIRMED	nar_reference; clinicaltrials
TAK-164	TAK 164; TAK-164; TAK164		Guanylyl cyclase C (GUCY2C)	ImmunoGen, Inc; Takeda Pharmaceutical Co., Ltd	Phase1	Phase 1 (Terminated)	NCT03449030	PRESUMED_ADC	MULTISOURCE_CONFIRMED	nar_reference; clinicaltrials; conference_abstract_corpus; europe_pmc
CON-4619	Aurixim; CON-4619; Rituximab conjugate (BioIntegrator LLC)		B-lymphocyte antigen CD20 (MS4A1)	BioIntegrator LLC	Phase1	Phase 1 (Terminated)	NCT03057418	REFERENCE_UNCLASSIFIED	REFERENCE_CONFIRMED	nar_reference
PRO-1102	PRO 1102; PRO1102		Receptor tyrosine-protein kinase erbB-2 (HER2)	ProfoundBio (Suzhou) Co., Ltd	Investigative	Investigative		PRESUMED_ADC	MULTISOURCE_CONFIRMED	nar_reference; conference_abstract_corpus
Glembatumumab vedotin					Phase2	Phase 2		PRESUMED_ADC	MULTISOURCE_CONFIRMED	nar_reference; clinicaltrials; conference_abstract_corpus; europe_pmc
AB-160	AB 160; AB-160; AB160; nab-paclitaxel/bevacizumab complex		Vascular endothelial growth factor A (VEGFA)	Mayo Clinic	Phase1	Phase 1		REFERENCE_UNCLASSIFIED	REFERENCE_CONFIRMED	nar_reference
Anti-B7-2-gelonin immunotoxin	AntiB72 monoclonal antibodygelonin immunotoxin conjugate; B72 targeted immunotoxin		T-lymphocyte activation antigen CD86 (CD86)	Bologna University	Investigative	Investigative		REFERENCE_UNCLASSIFIED	REFERENCE_CONFIRMED	nar_reference
HD-101	Amanitin-CD269 antibody drug conjugate; CD269-ATAC; anti-CD269-30.1699; anti-CD269-30.2115; anti-CD269-Thiomab-30.1699; anti-CD269-Thiomab-30.2115		Tumor necrosis factor receptor superfamily member 17 (TNFRSF17)	Heidelberg Pharma AG	Investigative	Investigative		REFERENCE_UNCLASSIFIED	REFERENCE_CONFIRMED	nar_reference
ABBV-324					Phase1	Phase 1	NCT06858813	REFERENCE_UNCLASSIFIED	REFERENCE_CONFIRMED	nar_reference
TQB2102	TQB 2102; TQB-2102; TQB2102		Receptor tyrosine-protein kinase erbB-2 (HER2 ECD2); Receptor tyrosine-protein kinase erbB-2 (HER2 ECD4)	Nanjing Shunxin Pharmaceutical Co., Ltd; Sino Biopharmaceutical Ltd	Phase2	Phase 2	NCT05735496	PRESUMED_ADC	MULTISOURCE_CONFIRMED	nar_reference; conference_abstract_corpus; europe_pmc
DXC-014					Phase1	Phase 1	NCT07177937	PRESUMED_ADC	MULTISOURCE_CONFIRMED	nar_reference; conference_abstract_corpus
ADCT-602	ADCT-602; Epratuzumab-cys-SG3249; Epratuzumab-cys-tesirine; hLL2-cys-PBD; hLL2-cys-SG3249		B-cell receptor CD22 (CD22)	ADC Therapeutics SA	Phase2	Phase 1/2	NCT03698552	PRESUMED_ADC	MULTISOURCE_CONFIRMED	nar_reference; europe_pmc
Labetuzumab govitecan	Anti-CEA monoclonal antibody; Anti-carcinoembryonic antigen monoclonal antibody; HMN-14-SN38; IMMU-130; IMMU-130, hMN14-SN38; Labetuzumab govitecan; Labetuzumab-SN38 conjugate; SN38-labetuzumab conjugate; anti-CEACAM5-SN38; hMN-14-SN38 antibody-drug conjugate		Carcinoembryonic antigen-related cell adhesion molecule 5 (CEACAM5)	Immunomedics, Inc; IBC Pharmaceuticals, Inc; Gilead Sciences, Inc	Phase2	Phase 2 (Terminated)	NCT01605318	PRESUMED_ADC	MULTISOURCE_CONFIRMED	nar_reference; clinicaltrials; conference_abstract_corpus
ABBV-291					Phase1	Phase 1	NCT06667687	PRESUMED_ADC	MULTISOURCE_CONFIRMED	nar_reference; conference_abstract_corpus
TRPH-222	CAT-02-106; CD22 ADC; CD22 antibody drug conjugate; CD22-4AP; TRPH 222; TRPH-222; TRPH222		B-cell receptor CD22 (CD22)	Catalent, Inc; Triphase Accelerator Corp; Triphase Research and Development III Corp	Phase1	Phase 1 (Terminated)	NCT03682796	PRESUMED_ADC	MULTISOURCE_CONFIRMED	nar_reference; clinicaltrials; conference_abstract_corpus
GF-2014	GF 2014; GF2014		Undisclosed	GenFleet Therapeutics (Shanghai) Co., Ltd	Investigative	Investigative		REFERENCE_UNCLASSIFIED	REFERENCE_CONFIRMED	nar_reference
YH-013	YH 013; YH013		Epidermal growth factor receptor (EGFR); Hepatocyte growth factor receptor (MET)	Biocytogen Pharmaceuticals (Beijing) Co., Ltd; Eucure (Beijing) Biopharma Co., Ltd	Investigative	Investigative		PRESUMED_ADC	MULTISOURCE_CONFIRMED	nar_reference; conference_abstract_corpus
Sacituzumab-Deruxtecan	WO2022068878A1		Tumor-associated calcium signal transducer 2 (TROP2)	Duality Biologics	Investigative	Investigative		REFERENCE_UNCLASSIFIED	REFERENCE_CONFIRMED	nar_reference
Disitamab vedotin	RC48; RC 48-ADC; RC-48; RC-48-ADC; RC48-ADC; Aidixi; Recombinant Humanized anti-HER2 Monoclonal Antibody-MMAE Conjugate		Receptor tyrosine-protein kinase erbB-2 (HER2)	RemeGen Co., Ltd; RemeGen Co., Ltd; Merck Sharp & Dohme LLC	Approved	Approved (FDA): Jun, 2021	NCT02881190; NCT03556345; NCT04264936; NCT04714190	STRICT_ADC	MULTISOURCE_CONFIRMED	nar_reference; configs/known_adc_assets.yaml; clinicaltrials
KK2845					Phase1	Phase 1	NCT06812104	PRESUMED_ADC	MULTISOURCE_CONFIRMED	nar_reference; europe_pmc
HBM9033	HBM 9033; HBM-9033; HBM9033; PF-08052666; PF 08052666; PF08052666; SGN-MesoC2		Mesothelin (MSLN)	Harbour Biomed Therapeutics Ltd	Phase1	Phase 1		REFERENCE_UNCLASSIFIED	REFERENCE_CONFIRMED	nar_reference
Aprutumab ixadotin	Aprutumab ixadotin; BAY 1187982; BAY-1187982; BAY1187982; FGFR2-ADC		Fibroblast growth factor receptor 2 (FGFR2)	Bayer AG	Phase1	Phase 1 (Terminated)	NCT02368951	PRESUMED_ADC	MULTISOURCE_CONFIRMED	nar_reference; clinicaltrials
HS-20124					Phase1	Phase 1	NCT06763159	REFERENCE_UNCLASSIFIED	REFERENCE_CONFIRMED	nar_reference
HB0052	HB 0052; HB-0052		5'-nucleotidase (NT5E)	Huabo Biopharm Co., Ltd	Investigative	Investigative		REFERENCE_UNCLASSIFIED	REFERENCE_CONFIRMED	nar_reference
SIBP-A13	SIBP A13; SIBPA13		Receptor tyrosine-protein kinase erbB-3 (HER3)	Sino Biopharmaceutical Ltd	Investigative	Investigative		REFERENCE_UNCLASSIFIED	REFERENCE_CONFIRMED	nar_reference
CD38 ADC					Phase1	Phase 1		REFERENCE_UNCLASSIFIED	REFERENCE_CONFIRMED	nar_reference
ONC-784	ONC 784; ONC784		Signal transducer CD24 (CD24)	Oncoc4 Inc; Oncoimmune-Guangzhou	Investigative	Investigative		REFERENCE_UNCLASSIFIED	REFERENCE_CONFIRMED	nar_reference
HDM2012					Phase1	Phase 1	NCT07100249	PRESUMED_ADC	MULTISOURCE_CONFIRMED	nar_reference; conference_abstract_corpus
YL217					Phase1	Phase 1	NCT06859762	REFERENCE_UNCLASSIFIED	REFERENCE_CONFIRMED	nar_reference
SIBP-A17					Phase1	Phase 1	NCT06512116	REFERENCE_UNCLASSIFIED	REFERENCE_CONFIRMED	nar_reference
XMT-1592	XMT 1592; XMT1592; XMT-1592		Sodium-dependent phosphate transport protein 2B (SLC34A2)	Mersana Therapeutics, Inc	Phase1	Phase 1 (Terminated)	NCT04396340	PRESUMED_ADC	MULTISOURCE_CONFIRMED	nar_reference; conference_abstract_corpus
PCA-062	NOV-10; PCA 062; PCA-062; PCA-pCAD; PCA06 2, NOV-10; PCA062		Cadherin-3 (CDH3)	MorphoSys AG; Novartis AG	Phase1	Phase 1 (Terminated)	NCT02375958	PRESUMED_ADC	MULTISOURCE_CONFIRMED	nar_reference; conference_abstract_corpus; europe_pmc
Gemtuzumab ozogamicin	CDP-771; CL-555201; CMA-676; WAY-CMA-676; Anti-CD33-monoclonal-antibody-calicheamicin; Anti-CD33-monoclonal-antibody-p67-6-calicheamicin-conjugate; HP67-6-N-acetyl-gamma-dimethyl-acbut; hP67.6-calicheamicin; Human-anti-CD33-monoclonal-antibody-P67-6-calicheamicin-conjugate		Myeloid cell surface antigen CD33 (CD33)	Pfizer Inc; Wyeth Pharmaceuticals LLC	Approved	Approved (FDA): Mar, 2000	NCT00893399; NCT00909168	STRICT_ADC	MULTISOURCE_CONFIRMED	nar_reference; configs/known_adc_assets.yaml; clinicaltrials
NC18					Phase1	Phase 1		REFERENCE_UNCLASSIFIED	REFERENCE_CONFIRMED	nar_reference
RN927C	RN-927C; RN 927C		Tumor-associated calcium signal transducer 2 (TROP2)	Rinat Neuroscience Corp	Investigative	Investigative		PRESUMED_ADC	MULTISOURCE_CONFIRMED	nar_reference; europe_pmc
MGTA-117	Anti-CD117 amanitin ADC; Anti-CD117 amanitin antibody drug conjugate; CD117-amanitin antibody drug conjugate; MGTA 117; MGTA-117; anti-CD117 (c-KIT)-amanitin antibody-drug conjugate; CD117-ADC		Mast/stem cell growth factor receptor Kit (KIT)	Heidelberg Pharma AG	Phase1	Phase 1 (Terminated)		PRESUMED_ADC	MULTISOURCE_CONFIRMED	nar_reference; conference_abstract_corpus
AGX101	AGX 101; AGX-101; AGX101; Anti-TM4SF1 ADC (Angiex)		Transmembrane 4 L6 family member 1 (TM4SF1)	Angiex, Inc	Phase1	Phase 1		PRESUMED_ADC	MULTISOURCE_CONFIRMED	nar_reference; clinicaltrials
BG-C137					Phase1	Phase 1	NCT06625593	PRESUMED_ADC	MULTISOURCE_CONFIRMED	nar_reference; clinicaltrials; conference_abstract_corpus
ZL-1310	YL 212; YL-212; YL212; ZL-1310; ZL 1310; ZL1310		Delta-like protein 3 (DLL3)	Zai Lab Ltd	Phase1	Phase 1		PRESUMED_ADC	MULTISOURCE_CONFIRMED	nar_reference; clinicaltrials; conference_abstract_corpus; europe_pmc
FS-1502	FS-1502; Herceptin-LC-LBG-MMAF; IKS 014; IKS-014; IKS014; LCB14; LCB14-0110; Trastuzumab-LC-LBG-MMAF		Receptor tyrosine-protein kinase erbB-2 (HER2)	Iksuda Therapeutics; Shanghai Fosun Pharmaceutical	Phase1	Phase 3		PRESUMED_ADC	MULTISOURCE_CONFIRMED	nar_reference; europe_pmc; clinicaltrials; conference_abstract_corpus
MHB036C					Phase2	Phase 2		PRESUMED_ADC	MULTISOURCE_CONFIRMED	nar_reference; conference_abstract_corpus
MDX-1203	BMS 936561; BMS-936561; BMS-936561, MDX-1203; BMS936561; MDX 1203; MDX-1203; MDX1203		CD70 antigen (CD70)	Medarex, Inc; Bristol Myers Squibb Co	Phase1	Phase 1 (Terminated)	NCT00944905	PRESUMED_ADC	MULTISOURCE_CONFIRMED	nar_reference; europe_pmc
Rosopatamab tetraxetan	DOTA-HUJ-591-GS; DOTA-HUJ-591; HuJ591-DOTA; Rosopatamab Y-90 conjugation		Glutamate carboxypeptidase 2 (FOLH1)	Weill Cornell Medical Center	Investigative	Investigative	NCT00052000; NCT00070837; NCT02576548	REFERENCE_UNCLASSIFIED	REFERENCE_CONFIRMED	nar_reference
AG 02 saporin conjugate	AG02; AG02 saporin; AG02-saporin; AG02-ADC; AG02 ADC		Cell surface protein 1 (CSP-1)	A&G Pharmaceutical, Inc	Investigative	Investigative		REFERENCE_UNCLASSIFIED	REFERENCE_CONFIRMED	nar_reference
Brentuximab vedotin	CAC10-vcMMAE; cAC-10. SGD-1010; SGN-30; SGN-35; cAC10-Val-Cit-MMAE; Moab chimeric SGN-30 to CD30 antigen		Tumor necrosis factor receptor superfamily member 8 (TNFRSF8)	Seagen Inc; BSP Pharmaceuticals SpA; Takeda Pharmaceutical Co., Ltd	Approved	Approved (FDA): Aug, 2011	NCT00430846; NCT00848926; NCT00866047; NCT00947856; NCT01060904; NCT01100502; NCT01309789; NCT01352520; NCT01393717; NCT01421667; NCT01461538; NCT01578499; NCT01657331; NCT01712490; NCT01716806; NCT01777152; NCT01780662; NCT01807598; NCT01940796; NCT01979536; NCT01994850; NCT02086604; NCT02166463; NCT02227199; NCT02227433; NCT02280785; NCT02292979; NCT02388490; NCT02423291; NCT02505269; NCT02572167; NCT02581631; NCT02684292; NCT02686346; NCT02758717; NCT02927769; NCT03057795; NCT04404283	STRICT_ADC	MULTISOURCE_CONFIRMED	nar_reference; configs/known_adc_assets.yaml; clinicaltrials
DS-9606					Phase1	Phase 1		REFERENCE_UNCLASSIFIED	REFERENCE_CONFIRMED	nar_reference
ZPC-21					Phase1	Phase 1	NCT06823167	REFERENCE_UNCLASSIFIED	REFERENCE_CONFIRMED	nar_reference
BSI-712	BSI 712; BSI712		Zinc transporter ZIP6 (SLC39A6)	Biosion, Inc; ImmunoGen, Inc	Investigative	Investigative		REFERENCE_UNCLASSIFIED	REFERENCE_CONFIRMED	nar_reference
CX-2029	ABBV-2029; ABBV-2029,CX-2029; CD71 probody drug conjugate; CX 2029; CX-2029		Transferrin receptor protein 1 (TFRC)	CytomX Therapeutics, Inc; AbbVie, Inc	Phase2	Phase 1/2	NCT03543813	REFERENCE_UNCLASSIFIED	REFERENCE_CONFIRMED	nar_reference
PLBA-001	PLBA 001; PLBA001		Undisclosed	PrimeLink BioTherapeutics (Suzhou) Co., Ltd	Investigative	Investigative		REFERENCE_UNCLASSIFIED	REFERENCE_CONFIRMED	nar_reference
M3554					Phase1	Phase 1	NCT06641908	PRESUMED_ADC	MULTISOURCE_CONFIRMED	nar_reference; clinicaltrials; conference_abstract_corpus
F0002-ADC	Anti-CD30-MCC-DM1; CD30-MCC-DM1; F-0002-ADC; F0002 ADC; F0002-ADC; F0002-ADC, Anti-CD30-MCC-DM1		Tumor necrosis factor receptor superfamily member 8 (TNFRSF8)	Shanghai Fudan Zhangjiang Bio Pharmaceutical Co., Ltd	Phase1	Phase 1		REFERENCE_UNCLASSIFIED	REFERENCE_CONFIRMED	nar_reference
DXC-009	DXC 009; DXC-009; DXC009		Undisclosed	Hangzhou DAC Biotech Co., Ltd	Phase1	Phase 1		REFERENCE_UNCLASSIFIED	REFERENCE_CONFIRMED	nar_reference
Zt/g4-Maytansinoid					Investigative	Investigative		REFERENCE_UNCLASSIFIED	REFERENCE_CONFIRMED	nar_reference
BAT-8007					Phase1	Phase 1		PRESUMED_ADC	MULTISOURCE_CONFIRMED	nar_reference; conference_abstract_corpus
PF-06263507	A1-mafodotin; A1-mcMMAF; MMAF ADC; PF 6263507; PF-06263507; PF-06263507, A1mc MMAF; PF06263507		Trophoblast glycoprotein (TPBG)	Oxford Biomedica Plc; Pfizer Inc	Phase1	Phase 1 (Terminated)		REFERENCE_UNCLASSIFIED	REFERENCE_CONFIRMED	nar_reference
IMGN-779	IMGN 779; IMGN-779; IMGN7 79; IMGN779		Myeloid cell surface antigen CD33 (CD33)	ImmunoGen, Inc	Phase1	Phase 1 (Terminated)		PRESUMED_ADC	MULTISOURCE_CONFIRMED	nar_reference; europe_pmc; pubmed
SHR-A2102	SHR A2102; SHR-A2102; SHRA2102		Nectin-4 (NECTIN4)	Shanghai Hengrui Pharmaceutical Co., Ltd	Phase3	Phase 3	NCT05701709; NCT05735275	PRESUMED_ADC	MULTISOURCE_CONFIRMED	nar_reference; clinicaltrials; conference_abstract_corpus; europe_pmc
BBT-001	BBT 001; BBT001; long-acting GCSF-IgG-Fc immunofusion protein		Granulocyte colony-stimulating factor receptor (CSF3R)	Bolder BioTechnology, Inc	Investigative	Investigative		REFERENCE_UNCLASSIFIED	REFERENCE_CONFIRMED	nar_reference
SRB19	SRB-19; SRB 19		Epidermal growth factor receptor (EGFR); Receptor tyrosine-protein kinase erbB-3 (HER3)	Sunrock Biopharma SL	Investigative	Investigative		REFERENCE_UNCLASSIFIED	REFERENCE_CONFIRMED	nar_reference
TRS-005	TRS-005; TRS005		B-lymphocyte antigen CD20 (MS4A1)	Zhejiang Teruisi Pharmaceutical Inc	Phase1	Phase 1	NCT05395533	REFERENCE_UNCLASSIFIED	REFERENCE_CONFIRMED	nar_reference
BL-M14D1					Phase1	Phase 1	NCT06505824; NCT07080242	REFERENCE_UNCLASSIFIED	REFERENCE_CONFIRMED	nar_reference
QBK249-G	QBK249G; QBK249 G		Receptor tyrosine-protein kinase erbB-2 (HER2)	Quadira Biosciences AG	Investigative	Investigative		REFERENCE_UNCLASSIFIED	REFERENCE_CONFIRMED	nar_reference
IKS-012	IKS 012; IKS012		Folate receptor alpha (FOLR1)	Iksuda Therapeutics Ltd	Investigative	Investigative		REFERENCE_UNCLASSIFIED	REFERENCE_CONFIRMED	nar_reference
EP-400	EP 400; EP400		Undisclosed	Esperance Pharmaceuticals, Inc	Investigative	Investigative		REFERENCE_UNCLASSIFIED	REFERENCE_CONFIRMED	nar_reference
CLR-180099	CLR 180099; CLR180099		Lipid rafts (LR)	Cellectar Biosciences, Inc	Investigative	Investigative		REFERENCE_UNCLASSIFIED	REFERENCE_CONFIRMED	nar_reference
PF-06664178	PF 6664178; PF-06664178; PF06664178; PF6664178		Tumor-associated calcium signal transducer 2 (TROP2)	Pfizer Inc	Phase1	Phase 1 (Terminated)	NCT02122146	REFERENCE_UNCLASSIFIED	REFERENCE_CONFIRMED	nar_reference
XMT-2056	XMT 2056; XMT-2056; XMT2056		Receptor tyrosine-protein kinase erbB-2 (HER2)	Mersana Therapeutics, Inc	Phase1	Phase 1		PRESUMED_ADC	MULTISOURCE_CONFIRMED	nar_reference; conference_abstract_corpus; europe_pmc; pubmed
IMMU-140	IMMU140; IMMU 140		HLA class II histocompatibility antigen, DR alpha chain (HLA-DRA)	Immunomedics, Inc; Gilead Sciences, Inc	Investigative	Investigative		PRESUMED_ADC	MULTISOURCE_CONFIRMED	nar_reference; europe_pmc
DX126-262	DAC-001; DX126 262; DX126-262; Recombinant anti-HER2 antibody-Tub 114		Receptor tyrosine-protein kinase erbB-2 (HER2)	Hangzhou DAC Biotech Co., Ltd	Phase2	Phase 2		PRESUMED_ADC	MULTISOURCE_CONFIRMED	nar_reference; europe_pmc; pubmed
MK-6837					Phase1	Phase 1	NCT06460961	REFERENCE_UNCLASSIFIED	REFERENCE_CONFIRMED	nar_reference
CMB-401	Anti-PEM monoclonal antibody calicheamicin; CDP 671; CDP-671; CMB 401; CMB-401; LLE 33288; hCTMO1-calicheamicin; hcT.MO1 calicheamicin		Mucin-1 (MUC1)	Celltech Oy	Phase2	Phase 2 (Terminated)		REFERENCE_UNCLASSIFIED	REFERENCE_CONFIRMED	nar_reference
TORL-1-23	TORL 1 23; TORL 1-23; TORL-1-23; TORL1-23		Claudin-6 (CLDN6)	TORL Biotherapeutics LLC	Phase1	Phase 1	NCT05103683	REFERENCE_UNCLASSIFIED	REFERENCE_CONFIRMED	nar_reference
PA-368A	PA368A; PA 368A		Cadherin-17 (CDH17)	Protein Alternatives SL	Investigative	Investigative		REFERENCE_UNCLASSIFIED	REFERENCE_CONFIRMED	nar_reference
MRG-004A	MRG 004A; MRG-004A; MRG004A		Tissue factor (F3)	Shanghai Miracogen Inc; Lepu Biopharma Co., Ltd	Phase2	Phase 1/2		PRESUMED_ADC	MULTISOURCE_CONFIRMED	nar_reference; conference_abstract_corpus
ITC-6146RO					Phase1	Phase 1	NCT07423117	REFERENCE_UNCLASSIFIED	REFERENCE_CONFIRMED	nar_reference
ALK202					Phase1	Phase 1	NCT06707610	REFERENCE_UNCLASSIFIED	REFERENCE_CONFIRMED	nar_reference
HTI-1511	HTI 1511; HTI1511		Epidermal growth factor receptor (EGFR)	Halozyme Therapeutics, Inc	Investigative	Investigative		PRESUMED_ADC	MULTISOURCE_CONFIRMED	nar_reference; conference_abstract_corpus
ABBV-319	ABBV 319; ABBV-319; ABBV319		B-lymphocyte antigen CD19 (CD19)	AbbVie, Inc	Phase1	Phase 1		REFERENCE_UNCLASSIFIED	REFERENCE_CONFIRMED	nar_reference
Ispectamab tazide	Ispectamab tazide		Tumor necrosis factor receptor superfamily member 17 (TNFRSF17)		Investigative	Investigative		REFERENCE_UNCLASSIFIED	REFERENCE_CONFIRMED	nar_reference
LR-DM1	LR DM1		Epidermal growth factor receptor (EGFR)	Chinese Academy of Medical Science and Peking Union Medical College	Investigative	Investigative		REFERENCE_UNCLASSIFIED	REFERENCE_CONFIRMED	nar_reference
ASN-004	ASN 004; ASN-004; ASN004		Trophoblast glycoprotein (TPBG)	Asana BioSciences LLC	Phase1	Phase 1		PRESUMED_ADC	MULTISOURCE_CONFIRMED	nar_reference; conference_abstract_corpus
GL-231	GL231; GL 231		Undisclosed	Genisphere LLC	Investigative	Investigative		REFERENCE_UNCLASSIFIED	REFERENCE_CONFIRMED	nar_reference
IBI3028					Phase1	Phase 1		REFERENCE_UNCLASSIFIED	REFERENCE_CONFIRMED	nar_reference
Sacituzumab-SN-38	Smab-SN-38		Tumor-associated calcium signal transducer 2 (TROP2)		Investigative	Investigative Drug-to-Antibody Ratio 6 3D		REFERENCE_UNCLASSIFIED	REFERENCE_CONFIRMED	nar_reference
CS-5002	CS5002; CS 5002		Undisclosed	CStone Pharmaceuticals Co. Ltd	Investigative	Investigative		REFERENCE_UNCLASSIFIED	REFERENCE_CONFIRMED	nar_reference
9MW-2921	9MW 2921; 9MW-2921; 9MW2921		Tumor-associated calcium signal transducer 2 (TROP2)	Mabwell (Shanghai) Bioscience Co., Ltd	Phase2	Phase 1/2		PRESUMED_ADC	MULTISOURCE_CONFIRMED	nar_reference; conference_abstract_corpus
MEDI-0641	MEDI0641; MEDI 0641; 5T4-PBD		Trophoblast glycoprotein (TPBG)	MedImmune LLC; AstraZeneca PLC	Investigative	Investigative		PRESUMED_ADC	MULTISOURCE_CONFIRMED	nar_reference; europe_pmc
PHN-012					Phase1	Phase 1	NCT07127874	PRESUMED_ADC	MULTISOURCE_CONFIRMED	nar_reference; clinicaltrials
ARX-788	ARX 788; ARX-788; ARX788		Receptor tyrosine-protein kinase erbB-2 (HER2)	Ambrx, Inc; Zhejiang Medicine Co., Ltd; Novocodex Biopharmaceuticals Co., Ltd	Phase2	Phase 2	NCT01042379; NCT02512237; NCT03255070; NCT04829604; NCT04983121; NCT05018676; NCT05018702; NCT05041972; NCT05426486	PRESUMED_ADC	MULTISOURCE_CONFIRMED	nar_reference; clinicaltrials; conference_abstract_corpus; europe_pmc; pubmed
Naratuximab emtansine	DEBIO 1562; Debio 1562, K7153 A, IMGN5 29; IMGN 529; IMGN-529; IMGN529; K7153A-SMCC-DM1; Naratuximab emtansine		Leukocyte antigen CD37 (CD37)	ImmunoGen, Inc; Debiopharm International SA	Phase2	Phase 2 (Terminated)	NCT01534715	PRESUMED_ADC	MULTISOURCE_CONFIRMED	nar_reference; conference_abstract_corpus; europe_pmc
HS630					Phase1	Phase 1		REFERENCE_UNCLASSIFIED	REFERENCE_CONFIRMED	nar_reference
PF-06888667	PF 06888667; PF06888667		Receptor tyrosine-protein kinase erbB-2 (HER2)		Investigative	Investigative		REFERENCE_UNCLASSIFIED	REFERENCE_CONFIRMED	nar_reference
JS107	JS 107; JS-107; JS107		Claudin-18.2 (CLDN18.2)	Shanghai Junshi Biosciences Co., Ltd	Phase1	Phase 1		REFERENCE_UNCLASSIFIED	REFERENCE_CONFIRMED	nar_reference
GBM-12401	Gbm 12401; Gbm12401		Undisclosed	Great Novel Therapeutics Biotech & Medicals Corp	Investigative	Investigative		REFERENCE_UNCLASSIFIED	REFERENCE_CONFIRMED	nar_reference
YBL-015	YBL 015; YBL015		CD276 antigen (CD276)	YBiologics, Inc	Investigative	Investigative		REFERENCE_UNCLASSIFIED	REFERENCE_CONFIRMED	nar_reference
RG-7861					Phase1	Phase 1		REFERENCE_UNCLASSIFIED	REFERENCE_CONFIRMED	nar_reference
ELN-11	ELN 11; ELN11; ADP-c165		Inactive tyrosine-protein kinase transmembrane receptor ROR1 (ROR1)	Elasmogen Ltd; Almac Discovery Ltd	Investigative	Investigative		REFERENCE_UNCLASSIFIED	REFERENCE_CONFIRMED	nar_reference
PCG-N003	PCG N003; PCG N003		Undisclosed	Epinogen Co., Ltd	Investigative	Investigative		REFERENCE_UNCLASSIFIED	REFERENCE_CONFIRMED	nar_reference
DEC006					Phase1	Phase 1	NCT07444814	REFERENCE_UNCLASSIFIED	REFERENCE_CONFIRMED	nar_reference
SY-0625	SY0625; SY 0625		Undisclosed	Shanghai Symray Biopharma Co., Ltd	Investigative	Investigative		REFERENCE_UNCLASSIFIED	REFERENCE_CONFIRMED	nar_reference
Inebilizumab-amanitin	Inebilizumab amanitin		B-lymphocyte antigen CD19 (CD19)	LegoChem Biosciences, Inc	Investigative	Investigative		REFERENCE_UNCLASSIFIED	REFERENCE_CONFIRMED	nar_reference
Anti-CD22-SN36248	Thio-hu antiCD22- (LC:K149C)-SN36248		B-cell receptor CD22 (CD22)		Investigative	Investigative		REFERENCE_UNCLASSIFIED	REFERENCE_CONFIRMED	nar_reference
SIM-005A	SIM-005A; SIM 005A		Undisclosed	Systimmune, Inc; Sichuan Baili Pharmaceutical Co., Ltd	Investigative	Investigative		REFERENCE_UNCLASSIFIED	REFERENCE_CONFIRMED	nar_reference
Enapotamab vedotin	AXL-107-MMAE; Enapotamab vedotin; HuMax-AXL; HuMax-AXL-ADC; HuMax-Axl-ADC, AXL-107-MMAE; Humax axl adc		Tyrosine-protein kinase receptor UFO (AXL)	Seagen Inc; Genmab A/S	Phase2	Phase 1/2 (Terminated)		PRESUMED_ADC	MULTISOURCE_CONFIRMED	nar_reference; clinicaltrials; conference_abstract_corpus
BC2027					Phase1	Phase 1	NCT07368478	REFERENCE_UNCLASSIFIED	REFERENCE_CONFIRMED	nar_reference
CD38-077	CD38 077; CD38077		ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 1 (CD38)	Concortis Biosystems Corp	Investigative	Investigative		REFERENCE_UNCLASSIFIED	REFERENCE_CONFIRMED	nar_reference
FDA-022	FDA 022; FDA-022; FDA022		Receptor tyrosine-protein kinase erbB-2 (HER2)	Shanghai Fudan Zhangjiang Bio Pharmaceutical Co., Ltd	Phase1	Phase 1	NCT05564858	PRESUMED_ADC	MULTISOURCE_CONFIRMED	nar_reference; europe_pmc
Coltuximab ravtansine	Anti-CD19 humanized monoclonal antibody conjugated to DM4; Anti-CD19-DM4 immunoconjugate; Coltuximab ravtansine; HUB4-DM4, SAR34 19; HuB4-DM4; Maytansin-loaded anti-CD19 mAb; SAR-3419; SAR3419		B-lymphocyte antigen CD19 (CD19)	ImmunoGen, Inc; Sanofi	Phase2	Phase 2 (Terminated)		PRESUMED_ADC	MULTISOURCE_CONFIRMED	nar_reference; europe_pmc
SIM0505					Phase1	Phase 1	NCT06792552	PRESUMED_ADC	MULTISOURCE_CONFIRMED	nar_reference; conference_abstract_corpus
CRB-2107	CRB2107; CRB 2107		Undisclosed	China Resources Biopharmaceutical Co., Ltd	Investigative	Investigative		REFERENCE_UNCLASSIFIED	REFERENCE_CONFIRMED	nar_reference
A1801	A 1801; A-1801		Transmembrane glycoprotein NMB (GPNMB)	Protheragen, Inc	Investigative	Investigative		REFERENCE_UNCLASSIFIED	REFERENCE_CONFIRMED	nar_reference
NI-2201	NI 2201; NI2201		B-lymphocyte antigen CD19 (CD19)	Novimmune SA; LegoChem Biosciences, Inc; Berta Holding AG; Iksuda Therapeutics Ltd	Investigative	Investigative		REFERENCE_UNCLASSIFIED	REFERENCE_CONFIRMED	nar_reference
DAN-222					Phase1	Phase 1	NCT05261269	REFERENCE_UNCLASSIFIED	REFERENCE_CONFIRMED	nar_reference
