nar_adc_id	canonical_name	phase_bucket	drug_status	brand_name	synonyms	development_codes	antigen_name	payload_moa_target	antibody_name	payload_name	linker_name	indications	companies	reference_count	reference_dois	nct_ids
DRG0AXGPR	BIL-03n	Investigative	Investigative		BOL03n; BIL 03n		P2X purinoceptor 7 (P2RX7)		Undisclosed	Undisclosed	Undisclosed	Breast cancer Clinical candidate Lung cancer Clinical candidate Neuroblastoma Clinical candidate Prostate cancer Clinica	Biosceptre International Ltd	0		
DRG0AXWSD	BIO-112	Investigative	Investigative		BIO 112 (BiOneCure Therapeutics); BIO 112; BIO112		Undisclosed		Undisclosed	Undisclosed	Undisclosed	Solid tumors Clinical candidate		0		
DRG0AYTGS	PF-08046037	Phase1	Phase 1						Anti-PD-L1 antibody	Imidazoquinoline-based TLR7 agonist	Mannosidase-cleavable maleimidopropionyl-mannose linker	Pancreatic cancer		0		NCT06974734
DRG0AZRNL	Iladatuzumab vedotin	Phase1	Phase 1 (Terminated)		DCDS 0780A; DCDS-0780A; DCDS0780A; Iladatuzumab vedotin; RG 7986; RG7986; RO-7032005		B-cell antigen receptor complex-associated protein beta chain (CD79B)	Microtubule (MT)	Iladatuzumab	Monomethyl auristatin E	Mc-Val-Cit-PABC	Unspecific non-hodgkin lymphoma; Phase 1 Clinical Trial Drug-to-Antibody Ratio 2 3D	F. Hoffmann-La Roche Ltd; Roche Holding AG	1		NCT02453087
DRG0AZUEZ	ZV-0203	Phase1	Phase 1						Undisclosed	Undisclosed	Undisclosed			0		
DRG0BBHPW	DXC-004A	Phase1	Phase 1		DXC 004A; DXC-004A; DXC004A		Epidermal growth factor receptor (EGFR)	Microtubule (MT)	Nimotuzumab derivative	Tubulysin B analog	Undisclosed Conjugate Type Undisclosed	Solid tumor; Phase 1 Clinical Trial Drug-to-Antibody Ratio Undisclosed	Hangzhou DAC Biotech Co., Ltd	0		
DRG0BBQSE	Enfortumab vedotin	Approved	Approved (FDA): Dec, 2019	Padcev	AGS-22C3; AGS-22CE; AGS-22M6E; AGS-22ME; AGS-M6; ASG-22CE; ASG-22M6E; ASG-22ME; ASP7465; DLE8519RWM; Enfortumab Vedotin-ejfv		Nectin-4 (NECTIN4)	Microtubule (MT)	Enfortumab	Monomethyl auristatin E	Mc-Val-Cit-PABC	Urothelial cancer; Approved Approval Document Colorectal cancer; Phase 2 Clinical Trial Liver cancer; Phase 2 Clinical Trial Pancreatic cancer; Phase 2 Clinical Trial Penile cancer; Phase 2 Clinical Trial Prostate cancer; Phase 2 Clinical Trial Solid tumor; Phase 2 Clinical Trial Testicular cancer; Phase 2 Clinical Trial Drug-to-Antibody Ratio 3.8 3D	Astellas Pharma, Inc; Seagen Inc; Baxter Oncology GmbH	7		NCT02091999; NCT03070990; NCT03219333; NCT03474107; NCT04223856
DRG0BBWPI	SYS6023	Phase1	Phase 1						Anti-HER3 mAb	Self-developed TOP1 inhibitor	Undisclosed	Lung cancer		0		NCT07110883
DRG0BBYHA	Bivatuzumab mertansine	Phase1	Phase 1 (Terminated)		Anti-CD44v6-DM1 immunoconjugate; BIW1-1; BIWI-1; Bivatuzumab mertansine; Monoclonal antibody CD44v6-DM1 immunoconjugate		CD44 antigen (CD44)	Microtubule (MT)	Bivatuzumab	Mertansine DM1	N-succinimidyl 4-(2-pyridyldithio) pentanoate (SPP)	Breast cancer; Phase 1 Clinical Trial Head and neck cancer; Phase 1 Clinical Trial Oesophageal cancer; Phase 1 Clinical Trial Drug-to-Antibody Ratio 3 to 4 3D	ImmunoGen, Inc; Boehringer Ingelheim GmbH	6		NCT02254005; NCT02254018; NCT02254031; NCT02254044
DRG0BCSND	BSI-077	Investigative	Investigative		Anticlaudin18.2 monoclonal antibody Biosion; BSI077; BSI 077		Claudin-18.2 (CLDN18.2)		Undisclosed	Undisclosed	Undisclosed	Adenocarcinoma Clinical candidate	Biosion, Inc	0		
DRG0BDOJD	BL-M005A2	Investigative	Investigative		BLM005A2; BL M005A2		Undisclosed		Undisclosed	Dual-warhead	Undisclosed	Breast cancer Clinical candidate Non-small cell lung cancer Clinical candidate	Systimmune, Inc	0		
DRG0BFNMH	GQ-1001	Phase1	Phase 1		GQ 1001; GQ-1001; GQ1001; GQ1001(Trastuzumab-ADC)		Receptor tyrosine-protein kinase erbB-2 (HER2)	Microtubule (MT)	Trastuzumab	Mertansine DM1	MCC-Gly6-Thr-Glu3-Pro-Leu-Ala3-Leu	Biliary tract cancer; Phase 1 Clinical Trial Breast cancer; Phase 1 Clinical Trial Oral cavity cancer; Phase 1 Clinical Trial Solid tumor; Phase 1 Clinical Trial Drug-to-Antibody Ratio 2 3D	GeneQuantum Healthcare (Suzhou) Co. Ltd	2		NCT04450732; NCT05575804
DRG0BGJNX	TAK-500	Phase2	Phase 1/2 (Terminated)		TAK 500; TAK-500; TAK500		C-C chemokine receptor type 2 (CCR2)	Stimulator of interferon genes protein (STING1)	TAK-202	STING agonist of TAK500	Maleimido-caproyl	Solid tumor; Phase 2 Clinical Trial Drug-to-Antibody Ratio 4	Takeda Pharmaceutical Co., Ltd	2		NCT04420884; NCT04879849
DRG0BGQOD	ADCT-901	Phase1	Phase 1		3A4-PL1601; ADCT 901; ADCT-901; ADCT901		Kidney-associated antigen 1 (KAAG1)	Human Deoxyribonucleic acid (hDNA)	Olintatug	SG3199	Mal-PEG8-Val-Ala-PABC	Solid tumor; Phase 1 Clinical Trial Drug-to-Antibody Ratio Undisclosed 3D	ADC Therapeutics SA; Overland Pharmaceuticals	0		
DRG0BIQVN	AZD-5335	Phase2	Phase 2						Undisclosed	AZ14170132	Mal-PEG8-Val-Ala	Solid tumor		0		
DRG0BJYDH	LMB-12	Investigative	Investigative		LMB 12; SS1-dsFv-LRggs		Mesothelin (MSLN)	Eukaryotic elongation factor 2 (EEF2)	Anti-MSLN scFv	Pseudomonas exotoxin PE24	Undisclosed General Information of The Activity Data Related to This ADC Reveale	Colorectal cancer (; Investigative)		1	10.1016/j.clcc.2019.06.006.	
DRG0BKLSW	SLV-324	Phase1	Phase 1						Undisclosed	Undisclosed	Undisclosed	Unspecific solid tumor		0		NCT07108114
DRG0BLINK	ALT-Q5	Investigative	Investigative		ALT-Q5 ADC; ALT Q5 ADC; Q5-drug conjugate (Alteogen); ALT Q5; ALT-05; ALTQ5		Folate receptor alpha (FOLR1)		Undisclosed	Undisclosed	Undisclosed Conjugate Type NexMab ADC technology.	Epithelial ovarian cancer Clinical candidate	Alteogen, Inc	0		
DRG0BPIAV	7MW-3711	Investigative	Investigative		7MW 3711; 7MW3711		CD276 antigen (CD276)	DNA topoisomerase 1 (TOP1)	Undisclosed	Topoisomerase I inhibitor	Undisclosed Conjugate Type Antibody conjugating technology platform IDDC (interc	Solid tumors IND	Mabwell (Shanghai) Bioscience Co., Ltd	0		
DRG0BRHCV	KM254-ADC	Investigative	Investigative		KM254 ADC; KM254ADC		Receptor tyrosine-protein kinase erbB-2 (HER2)		Undisclosed	Undisclosed	Undisclosed	Breast cancer Clinical candidate Colorectal cancer Clinical candidate Gastric cancer Clinical candidate Lung cancer Clin	Xuanzhu Biopharmaceutical Co., Ltd	0		
DRG0BSQPI	Sacituzumab tirumotecan	Approved	Approved (FDA): Nov, 2024	Jiatailai	A-264; KL-A264; MK-2870; MK2870; SKB 264; SKB-264; SKB264; TROP-2-targeted antibody-drug conjugate; sacituzumab tirumotecan(MK-2870)		Tumor-associated calcium signal transducer 2 (TROP2)	DNA topoisomerase 1 (TOP1)	Sacituzumab	KL610023	Pyrimidine-CL2A-carbonate	Breast cancer; Approved Approval Document Lung cancer; Approved Approval Document Cervical cancer; Phase 3 Clinical Trial Endometrial cancer; Phase 3 Clinical Trial Oesophageal cancer; Phase 3 Clinical Trial Biliary tract cancer; Phase 2 Clinical Trial Colorectal cancer; Phase 2 Clinical Trial Gastric cancer; Phase 2 Clinical Trial Head and neck cancer; Phase 2 Clinical Trial Ovarian cancer; Phase 2 Clinical Trial Pancreatic cancer; Phase 2 Clinical Trial Solid tumor; Phase 2 Clinical Trial Urothelial cancer; Phase 2 Clinical Trial Drug-to-Antibody Ratio 7 to 8 3D	Sichuan Kelun Pharmaceutical Co., Ltd; KLUS Pharma, Inc; Merck & Co., Inc	6		NCT05347134; NCT05351788; NCT05445908; NCT05631262; NCT05642780
DRG0BSWTQ	QLS5316	Phase1	Phase 1						A bispecific anti-EGFR/c-Met bsAb	QLS6916	A cleavable linker	Gastroesophageal junction adenocarcinoma		0		NCT07358884
DRG0BWCTV	ARX-305	Phase1	Phase 1		ARX 305; ARX-305; ARX305; NCB-002		CD70 antigen (CD70)	Microtubule (MT)	A proprietary, humanized, anti-CD70 antibody	Monomethyl auristatin F	Oxime-PEG3	Acute myeloid leukaemia; Phase 1 Clinical Trial Solid tumor; Phase 1 Clinical Trial Unspecific non-hodgkin lymphoma; Phase 1 Clinical Trial Drug-to-Antibody Ratio 2 3D	Ambrx, Inc; Zhejiang Medicine Co., Ltd; Novocodex Biopharmaceuticals Co., Ltd	0		
DRG0BWWWF	BL-M15D1	Phase1	Phase 1						Undisclosed	Camptothecin analogue ED04	Undisclosed	Solid tumor		0		
DRG0BXRDQ	Veltuzumab-SN-38	Investigative	Investigative		Vmab-SN-38		B-lymphocyte antigen CD20 (MS4A1)	DNA topoisomerase 1 (TOP1)	Veltuzumab	Active metabolite of irinotecan SN38	CL2A	B-cell lymphoma; Investigative Burkitt lymphoma; Investigative Mantle cell lymphoma; Investigative Drug-to-Antibody Ratio 6 3D		1	10.1158/1535-7163.MCT-11-0632.	
DRG0BZCIJ	DAC-002	Phase1	Phase 1						Undisclosed	Tubulysin 196		Solid tumor		0		
DRG0BZEMH	JAB-BX400	Investigative	Investigative		JAB BX400; JABBX400		Receptor tyrosine-protein kinase erbB-2 (HER2)	Stimulator of interferon genes protein (STING1)	Undisclosed	STING agonist	Undisclosed	Solid tumors Clinical candidate	Jacobio Pharmaceuticals Group Co., Ltd	0		
DRG0CAEXH	RC-118	Phase2	Phase 1/2		RC-118; RC118; RC118-ADC,YH005; Recombinant humanized IgG1 anti-Claudin18.2 monoclonal antibody conjugated to MMAE; YH-005; YH005; YH005-ADC		Claudin-18.2 (CLDN18.2)	Microtubule (MT)	Ciletatug	Monomethyl auristatin E	Mc-Val-Cit-PABC	Solid tumor; Phase 2 Clinical Trial Drug-to-Antibody Ratio 3.5-4.5 3D	RemeGen Co., Ltd; Biocytogen Pharmaceuticals (Beijing) Co., Ltd; Eucure (Beijing) Biopharma Co., Ltd	3		NCT03895112; NCT04914117; NCT05205850
DRG0CBHSI	MG1901	Phase1	Phase 1						Undisclosed	Undisclosed	Undisclosed	Tumor		0		
DRG0CBLIJ	BGB-C354	Phase1	Phase 1						Anti-B7H3 antibody	TOP1 inhibitor	A cleavable linker	Unspecific solid tumor		0		NCT06422520
DRG0CCEQO	ABBV-400	Phase3	Phase 3		ABBV-400; ABBV 400; ABBV400		Hepatocyte growth factor receptor (MET)	DNA topoisomerase 1 (TOP1) Conjugate Type Undisclosed Combination Type adizutecan	Telisotuzumab	DNA topoisomerase-I inhibitor		Colorectal cancer; Phase 3 Clinical Trial Biliary tract cancer; Phase 1 Clinical Trial Breast cancer; Phase 1 Clinical Trial Head and neck cancer; Phase 1 Clinical Trial Liver cancer; Phase 1 Clinical Trial Oesophageal cancer; Phase 1 Clinical Trial Ovarian cancer; Phase 1 Clinical Trial Pancreatic cancer; Phase 1 Clinical Trial Solid tumor; Phase 1 Clinical Trial Drug-to-Antibody Ratio Undisclosed	AbbVie, Inc	0		
DRG0CCQWD	MM-310	Phase1	Phase 1 (Terminated)		MM 310; MM-310; MM310		Ephrin type-A receptor 2 (EPHA2)	Microtubule (MT)	Undisclosed	Docetaxel	Undisclosed Conjugate Type Undisclosed TTD ID D0WW1V General Information of The 	Solid tumor; Phase 1 Clinical Trial Drug-to-Antibody Ratio Undisclosed 3D	Merrimack Pharmaceuticals, Inc	1		NCT03076372
DRG0CDYJL	MYTX-011	Phase1	Phase 1		MYTX 011; MYTX-011; MYTX011		Hepatocyte growth factor receptor (MET)	Microtubule (MT)	pH-dependent antic-MET antibody	Monomethyl auristatin E	Mc-Val-Cit-PABC	Lung cancer; Phase 1 Clinical Trial Drug-to-Antibody Ratio 2 3D	Mythic Therapeutics, Inc	1		NCT05652868
DRG0CECRA	Trastuzumab rezetecan	Approved	Approved (FDA): May, 2025	Aiweida	SHR A1811; SHR-A1811; SHRA1811		Receptor tyrosine-protein kinase erbB-2 (HER2)	DNA topoisomerase 1 (TOP1)	Trastuzumab	SHR9265	Mc-Gly-Gly-Phe-Gly	Lung cancer; Approved Approval Document Breast cancer; Phase 3 Clinical Trial Colorectal cancer; Phase 3 Clinical Trial Gastric cancer; Phase 3 Clinical Trial Ovarian cancer; Phase 3 Clinical Trial Biliary tract cancer; Phase 2 Clinical Trial Cervical cancer; Phase 2 Clinical Trial Endometrial cancer; Phase 2 Clinical Trial Oral cavity cancer; Phase 2 Clinical Trial Pancreatic cancer; Phase 2 Clinical Trial Solid tumor; Phase 1 Clinical Trial Drug-to-Antibody Ratio 5.3 to 6.4 3D	Jiangsu Hengrui Pharmaceuticals Co., Ltd; Suzhou Suncadia Biopharmaceuticals Co., Ltd	13		NCT04446260; NCT04513223; NCT04818333; NCT05349409; NCT05353361; NCT05424835; NCT05482568; NCT05582499; NCT05594095; NCT05635487; NCT05671822; NCT05749588; NCT05769010
DRG0CEJDT	DB-1317	Phase1	Phase 1						Anti-ADAM9 antibody	TOP1 inhibitor	Undisclosed	Gastric cancer		0		NCT07141706
DRG0CESQS	Recombinant humanized anti-Trop2 antibody	Phase1	Phase 1						Undisclosed	Undisclosed	Undisclosed			0		
DRG0CHZRH	NEP1-40	Investigative	Investigative		1D9; 1H2; 2E10; 7E11; NEP1 40		Tumor necrosis factor receptor superfamily member 16 (NGFR)		Undisclosed	Undisclosed	Undisclosed	Glaucoma; Investigative Multiple sclerosis; Investigative Parkinson disease; Investigative Spinal cord injury; Investigative Stroke; Investigative Traumatic brain injury (; Investigative)	Biogen, Inc	0		
DRG0CIZWI	AMT-676	Phase1	Phase 1		AMT 676; AMT-676; AMT676		Cadherin-17 (CDH17)	DNA topoisomerase 1 (TOP1) Conjugate Type Undisclosed	Undisclosed	Exatecan		Solid tumor; Phase 1 Clinical Trial Drug-to-Antibody Ratio Undisclosed 3D	Multitude Therapeutics, Inc	0		
DRG0CKSWS	CMG-901	Phase3	Phase 3		CMG 901; CMG-901; CMG901; MRG005; Sonesitatug vedotin; AZD0901		Claudin-18.2 (CLDN18.2)	Microtubule (MT)	Sonesitatug	Monomethyl auristatin E	Mc-Val-Cit-PABC	Gastric cancer; Phase 3 Clinical Trial Biliary tract cancer; Phase 2 Clinical Trial Oesophageal cancer; Phase 2 Clinical Trial Pancreatic cancer; Phase 2 Clinical Trial Solid tumor; Phase 1 Clinical Trial Drug-to-Antibody Ratio Undisclosed 3D	Keymed Biosciences, Inc; Shanghai Miracogen Inc; Lepu Biopharma Co., Ltd; AstraZeneca PLC	1		NCT04805307
DRG0CKWNZ	BA-3181	Investigative	Investigative		BA 3181; BA3181; CAB-EpCAM-ADC		Epithelial cell adhesion molecule (EPCAM)		Undisclosed	Undisclosed	Undisclosed Conjugate Type Amide bonds of recombinant proteins.	Solid tumors Clinical candidate	BioAtla, Inc	0		
DRG0CLBRQ	NNAS-Mc-Val-Cit-PABC-MMAE	Investigative	Investigative		NNAS-vcMMAE		Receptor tyrosine-protein kinase erbB-2 (HER2)	Microtubule (MT)	Anti-HER2 mAb NNAS	Monomethyl auristatin E	Mc-Val-Cit-PABC	Breast cancer; Investigative Ovarian cancer; Investigative Drug-to-Antibody Ratio 3.8-4 3D	Genzyme Corp	0		
DRG0CMPYD	ADCX-020	Phase1	Phase 1						Undisclosed	TOP1 inhibitor	A cleavable linker	Unspecific solid tumor		0		NCT07238075
DRG0CMUPE	BG-C0902	Phase1	Phase 1						A bispecific anti-EGFR/c-Met bsAb	TOP1 inhibitor	A cleavable linker	Unspecific solid tumor		0		NCT07181681
DRG0CNJHC	JK-06	Phase2	Phase 1/2		JK 06; JK-06; JK06		Trophoblast glycoprotein (TPBG)	Microtubule (MT)	Undisclosed	Monomethyl auristatin E	Undisclosed Conjugate Type Undisclosed	Solid tumor; Phase 2 Clinical Trial Drug-to-Antibody Ratio Undisclosed 3D	Salubris Biotherapeutics, Inc	0		
DRG0CNWMR	ABBV-901	Phase1	Phase 1						Undisclosed	Undisclosed	Undisclosed	Ovarian cancer		0		NCT07278336
DRG0COMTY	Telisotuzumab vedotin	Approved	Approved (FDA): May, 2025	Emrelis	ABBV 399; ABBV-399; ABBV399; ABT 399; ABT-399; Teliso-V; Teliso-V (ABBV-399); Telisotuzumab vedotin		Hepatocyte growth factor receptor (MET)	Microtubule (MT)	Telisotuzumab	Monomethyl auristatin E	Mc-Val-Cit-PABC	Lung cancer; Approved Approval Document Solid tumor; Phase 1 Clinical Trial Drug-to-Antibody Ratio 3.1 3D	AbbVie, Inc; BSP Pharmaceuticals SpA	11		NCT00723359; NCT01001442; NCT01270698; NCT01472016; NCT01605318; NCT01638936; NCT01915472; NCT02099058
DRG0CPNIE	DS6-DM1	Investigative	Investigative		DS6DM1; DS6 DM1		Mucin-1 (MUC1)	Microtubule (MT)	Anti-MUC1 mAb DS6	Mertansine DM1	N-succinimidyl 4-(2-pyridyldithio) butanoate (SPDB)	Solid tumors Clinical candidate 3D	ImmunoGen, Inc	0		
DRG0CRDKL	HKT-288	Phase1	Phase 1 (Terminated)		HKT 288; HKT-288; HKT28 8, NOV-13; HKT288; NOV-13		Cadherin-6 (CDH6)	Microtubule (MT)	Fully human Anti-CDH6 HKT-288 mAb	Mertansine DM4	Sulfo-SPDB	Fallopian tube cancer; Phase 1 Clinical Trial Kidney cancer; Phase 1 Clinical Trial Ovarian cancer; Phase 1 Clinical Trial Peritoneal cancer; Phase 1 Clinical Trial Drug-to-Antibody Ratio Undisclosed 3D	Novartis Pharma AG; Novartis AG	3		NCT02947152
DRG0CRYVT	DP-303c	Phase3	Phase 3		DP 303c; DP-303c; DP303c		Receptor tyrosine-protein kinase erbB-2 (HER2)	Microtubule (MT)	Trastuzumab	Monomethyl auristatin E	NH2-PEG3-Val-Cit-PABC	Breast cancer; Phase 3 Clinical Trial Gastric cancer; Phase 2 Clinical Trial Ovarian cancer; Phase 2 Clinical Trial Solid tumor; Phase 1 Clinical Trial Drug-to-Antibody Ratio 2 3D	CSPC Zhongqi Pharmaceutical Technology Shijiazhuang Co., Ltd; CSPC Pharmaceutical Group Ltd	5		NCT04146610; NCT04826107; NCT04828616; NCT05334810
DRG0CVTZD	MG2011C	Investigative	Investigative		MG2011C (Shanghai MabGen Biotech); MG-2011C; MG 2011C		Undisclosed		Undisclosed	Undisclosed	Undisclosed	Autoimmune disorder Clinical candidate Solid tumors Clinical candidate	Shanghai MabGen Biotech Ltd; Shanghai Meijing Science & Technology Co. Ltd	0		
DRG0CWADI	AZD-9592	Phase1	Phase 1						Tilatamig	AZ0132	Mal-PEG8-Val-Ala	Colorectal cancer		0		
DRG0CXFTH	Serclutamab talirine	Phase1	Phase 1 (Terminated)		ABBV 321; ABBV-321; ABBV321; Serclutamab talirine		Epidermal growth factor receptor (EGFR)	Human Deoxyribonucleic acid (hDNA)	Serclutamab	SGD-1882	Mc-Val-Ala	Solid tumor; Phase 1 Clinical Trial Drug-to-Antibody Ratio 2 3D	AbbVie, Inc	3		NCT03234712
DRG0CXRVR	JSKN022	Phase1	Phase 1						Anti-αvβ6/PDL1 bsAb	Alphatecan (T01)	A cleavable linker	Unspecific solid tumor		0		NCT07292402
DRG0CXSNU	SIBP-A19	Phase1	Phase 1						SIBP-A12	DXd	Mc-VASGFG	Unspecific solid tumor		0		NCT06990464
DRG0CYJSZ	OGD-204	Investigative	Investigative		OGD 204; OGD204		O-acetyl derivative of GD2 ganglioside (OAcGD2)		Undisclosed	Undisclosed	Undisclosed	Solid tumors (; Investigative)	OGD2 Pharma SAS	0		
